area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,hospital_distance_km,hospital_time_min,playground_distance_km,playground_time_min,kindergarten_distance_km,kindergarten_time_min,metro_distance_km,metro_time_min,busstop_distance_km,busstop_time_min,office_distance_km,office_time_min,school_distance_km,school_time_min,college_distance_km,college_time_min
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,GrrvaGr,1335,2.0,3.0,73.43,12.9966,77.6196,1.94,5,2.9,5,2.7,9,6.18,23,1.92,6,5.17,29,0.72,6,7.85,22
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Goner C,1015,2.0,1.0,60.0,13.0136,77.6366,1.96,7,0.56,8,0.68,6,5.33,15,0.14,7,7.53,42,2.62,7,3.39,20
Built-up  Area,Ready To Move,Banashankari Stage III,6 Bedroom,GrrvaGr,3000,6.0,2.0,150.0,12.9786,77.6016,3.92,2,0.62,5,1.22,7,4.98,6,1.68,5,13.32,30,0.98,5,8.07,10
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,63.0,12.9836,77.6066,4.81,8,1.43,8,2.11,5,7.67,22,1.84,5,1.11,36,1.95,7,5.72,12
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,GrrvaGr,1180,2.0,1.0,105.0,12.9766,77.5996,3.35,2,1.63,7,2.2,7,6.45,20,0.79,1,4.66,28,2.88,11,3.22,16
Super built-up  Area,18-Sep,Hennur Road,3 BHK,Maity W,1445,2.0,1.0,83.0,12.9796,77.6026,1.26,10,1.22,6,0.49,6,5.65,20,1.25,2,3.06,42,1.42,12,8.16,23
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,GrrvaGr,1500,2.0,2.0,65.0,13.0046,77.6276,0.78,7,1.95,8,0.23,9,2.31,8,0.95,5,5.68,19,0.48,9,3.74,33
Plot  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,GrrvaGr,1Grounds,1.0,1.0,48.0,13.0046,77.6276,0.6,3,1.83,6,3.08,8,2.81,5,0.51,1,7.07,19,3.04,14,4.73,15
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1085,2.0,1.0,46.5,13.0156,77.6386,2.91,3,2.02,1,1.89,5,3.06,10,1.45,7,8.43,16,0.64,12,8.57,25
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,GrrvaGr,1050,2.0,2.0,52.08,12.9836,77.6066,4.46,7,2.72,3,1.74,3,5.62,22,1.94,1,2.07,43,1.7,3,7.27,21
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,GrrvaGr,2760,4.0,2.0,290.0,13.0006,77.6236,2.17,10,0.53,6,3.06,5,4.69,7,0.24,7,8.75,14,4.64,3,7.09,26
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,GrrvaGr,1330,2.0,1.0,49.0,12.9876,77.6106,0.92,3,2.47,2,1.89,5,6.3,7,1.28,3,13.94,11,3.96,6,7.68,10
Plot  Area,18-May,Ramagondanahalli,2 Bedroom,GrrvaGr,845,2.0,1.0,45.82,13.0206,77.6436,2.34,5,1.85,5,0.48,3,7.2,14,0.89,6,9.13,15,1.45,4,9.6,20
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,112.0,13.0006,77.6236,4.01,8,2.66,2,2.59,6,1.25,7,1.24,5,12.17,20,2.91,8,7.17,27
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,1303,2.0,2.0,80.0,12.9946,77.6176,3.94,4,0.15,1,3.1,8,8.0,8,1.43,4,3.52,20,2.15,10,6.16,29
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,GrrvaGr,1560,2.0,2.0,125.0,13.0046,77.6276,2.1,6,2.51,6,0.67,6,2.5,20,1.59,2,10.3,29,1.14,13,1.38,28
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,1110,2.0,2.0,29.97,12.9986,77.6216,2.51,11,0.71,2,3.35,9,7.47,5,0.89,6,2.32,33,4.88,3,9.74,14
Super built-up  Area,18-May,Doddabanahalli,3 BHK,GrrvaGr,1290,3.0,2.0,45.33,13.0136,77.6366,3.23,7,2.86,3,2.44,3,3.56,13,0.3,5,7.62,39,2.09,3,4.22,30
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Loals P,1160 - 1315,2.0,0.0,49.49,12.9976,77.6206,2.66,6,1.03,9,0.35,8,2.03,19,1.95,5,4.78,33,4.34,5,1.22,22
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,HMigond,1780,3.0,2.0,88.0,12.9756,77.5986,1.37,11,2.18,4,1.25,11,2.74,16,0.4,1,8.37,34,0.85,5,3.24,33
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,83.0,12.9966,77.6196,3.92,9,2.45,6,0.5,4,4.51,23,0.48,1,7.65,18,2.46,12,2.16,15
Built-up  Area,18-May,Hennur,4 Bedroom,Asoilul,2557,2.0,2.0,170.0,13.0046,77.6276,2.3,7,2.78,6,2.56,6,5.71,15,0.24,4,2.22,29,1.86,11,9.43,20
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1332,2.0,2.0,101.0,13.0166,77.6396,1.85,6,0.68,4,2.03,5,3.39,10,1.31,2,14.92,23,4.57,6,9.15,27
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 BHK,GrrvaGr,7500,5.0,2.0,1500.0,13.0206,77.6436,1.55,7,1.9,4,2.44,8,4.99,11,1.14,1,7.44,17,1.14,3,6.68,24
Built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012,2.0,2.0,59.0,13.0056,77.6286,4.41,13,0.2,4,2.92,5,7.12,14,0.41,7,7.69,39,0.46,7,1.64,18
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Reunee ,1192,2.0,2.0,53.5,12.9976,77.6206,1.63,14,0.27,6,3.08,4,1.3,11,1.99,6,6.76,25,3.61,8,3.74,25
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2.0,1.0,32.54,12.9726,77.5956,3.57,11,1.3,7,3.36,10,4.0,8,0.63,2,4.33,20,4.23,14,8.44,30
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1213,2.0,2.0,48.0,12.9906,77.6136,1.64,6,2.11,1,1.81,3,3.87,24,0.35,7,13.65,29,1.23,9,7.75,31
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1489,3.0,2.0,88.0,13.0016,77.6246,1.39,13,2.0,8,3.7,10,4.55,8,0.23,3,1.9,44,2.8,11,2.96,17
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1200,2.0,2.0,62.0,12.9736,77.5966,2.21,14,1.46,3,2.64,8,3.16,20,0.76,3,13.2,42,1.41,5,6.48,29
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,GrrvaGr,1140,2.0,2.0,28.5,12.9876,77.6106,4.72,12,1.85,4,0.58,4,6.91,6,1.7,6,3.1,22,3.2,3,1.28,32
Super built-up  Area,18-Apr,Devanahalli,3 BHK,Brrds O,1200,2.0,1.0,55.08,13.0146,77.6376,4.18,3,1.9,6,2.56,4,2.05,10,1.47,5,2.98,41,1.83,14,9.14,34
Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,GrrvaGr,1200,2.0,1.0,36.0,12.9956,77.6186,1.53,3,2.53,2,3.55,3,3.42,22,0.11,6,4.76,20,3.55,3,3.7,28
Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,GrrvaGr,2640,6.0,1.0,225.0,12.9766,77.5996,1.94,5,2.67,9,1.28,4,7.8,6,0.84,6,10.93,44,0.82,13,8.69,25
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrrvaGr,1650,3.0,1.0,94.0,12.9976,77.6206,3.12,8,1.21,4,1.94,6,5.1,10,0.82,6,14.81,14,2.16,12,9.87,32
Plot  Area,Ready To Move,Bharathnagar,2 Bedroom,GrrvaGr,1245,2.0,1.0,120.0,12.9876,77.6106,2.25,3,0.29,2,1.22,11,2.59,22,1.36,2,10.46,19,3.49,12,1.64,13
Super built-up  Area,Ready To Move,Ardendale,2 BHK,AWharde,1224,2.0,2.0,67.0,12.9836,77.6066,4.39,10,0.8,5,3.15,10,2.26,19,0.4,2,5.75,15,1.74,11,8.93,26
Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,1235,2.0,2.0,52.76,12.9846,77.6076,2.83,12,0.38,5,3.95,11,5.58,18,1.63,1,13.96,19,2.59,11,1.16,16
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,GrrvaGr,1200,2.0,2.0,45.6,13.0106,77.6336,4.34,11,2.4,7,2.6,3,5.92,8,0.9,3,8.77,15,3.36,6,5.34,25
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1342,2.0,2.0,75.0,13.0156,77.6386,1.43,4,0.27,5,2.71,8,1.79,20,0.96,1,14.97,39,3.3,6,6.68,34
Plot  Area,Ready To Move,9th Phase JP Nagar,3 Bedroom,GrrvaGr,600,3.0,2.0,79.0,12.9756,77.5986,3.49,4,1.46,9,0.8,10,7.32,12,1.27,3,8.2,26,4.4,6,6.19,33
Built-up  Area,Ready To Move,TC Palaya,2 BHK,GilomSh,1800,2.0,2.0,80.0,12.9836,77.6066,2.18,13,1.67,6,1.47,6,2.6,11,1.68,3,7.71,15,3.67,10,8.72,32
Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,GrrvaGr,2280,4.0,2.0,615.0,13.0186,77.6416,0.71,9,2.51,5,1.72,8,6.58,16,0.11,2,5.22,17,3.03,8,1.35,27
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,GrrvaGr,2440,2.0,0.0,415.0,12.9766,77.5996,2.03,10,2.13,3,1.88,4,2.91,11,1.71,2,10.35,22,4.31,10,1.97,33
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1130,2.0,1.0,46.33,12.9726,77.5956,1.83,9,1.84,4,3.15,11,3.02,9,0.96,5,6.8,39,4.45,9,2.2,14
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1186,2.0,3.0,72.0,12.9906,77.6136,1.74,14,1.78,6,3.28,7,1.95,5,0.68,2,10.81,28,3.91,11,2.2,18
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1295,2.0,1.0,64.0,13.0046,77.6276,3.21,13,1.47,2,2.78,6,0.96,5,1.33,5,11.43,16,3.61,5,7.52,33
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,85.0,13.0016,77.6246,2.15,6,2.71,4,2.44,8,1.25,23,1.34,5,10.21,37,3.14,10,9.87,29
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,905,2.0,1.0,65.0,12.9976,77.6206,0.74,5,0.62,8,3.35,11,7.75,16,1.18,6,1.79,40,1.08,13,1.05,32
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97,12.9926,77.6156,1.21,3,2.89,4,1.81,4,0.63,9,1.33,7,11.2,29,1.62,5,4.79,13
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1165,2.0,1.0,40.0,13.0126,77.6356,2.64,9,1.85,5,2.42,5,7.73,11,1.43,4,11.02,11,0.7,6,1.4,21
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1328,2.0,2.0,107.0,12.9856,77.6086,2.68,13,0.79,5,2.1,9,6.89,11,1.43,1,10.44,16,4.12,10,4.62,11
Super built-up  Area,Ready To Move,Gandhi Bazar,3 BHK,GrrvaGr,1485,2.0,3.0,110.0,13.0066,77.6296,0.38,12,2.22,3,2.73,11,0.91,6,1.31,4,8.08,39,2.87,13,5.46,22
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrrvaGr,1475,2.0,3.0,59.0,12.9906,77.6136,1.04,2,1.18,7,2.68,4,0.58,10,0.19,2,8.78,15,4.64,14,7.8,31
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,AuRISa ,1175,2.0,2.0,35.0,12.9766,77.5996,3.35,9,0.39,6,1.1,8,4.3,19,1.37,2,14.32,43,2.02,7,1.79,25
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245,2.0,2.0,100.0,12.9716,77.5946,1.9,11,0.34,1,0.32,7,4.39,9,0.27,5,2.74,18,3.15,12,5.26,23
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,GrrvaGr,720,4.0,1.0,95.0,13.0116,77.6346,1.81,14,1.74,5,2.35,5,1.51,15,1.83,6,9.97,12,4.75,4,4.2,24
Super built-up  Area,20-Nov,Rachenahalli,2 BHK,AsNowre,985,2.0,1.0,49.97,12.9836,77.6066,0.42,8,1.97,1,3.92,6,3.35,12,1.2,7,10.92,12,0.89,8,6.19,29
Plot  Area,Ready To Move,Koramangala,5 Bedroom,GrrvaGr,4000,5.0,0.0,800.0,13.0136,77.6366,2.06,13,1.05,2,0.59,9,7.03,13,1.25,5,14.24,17,3.86,14,9.66,14
Super built-up  Area,Ready To Move,Hoskote,3 BHK,VRiewke,1395,2.0,2.0,63.0,13.0166,77.6396,0.48,13,2.11,9,1.73,4,1.69,10,0.44,2,1.2,31,0.96,8,9.63,20
Super built-up  Area,21-Dec,Hoodi,1 BHK,GoAirej,706 - 716,1.0,0.0,42.65,13.0186,77.6416,1.56,3,0.88,3,1.57,6,5.34,7,1.37,1,7.95,10,0.87,7,7.4,29
Super built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1.0,1.0,40.5,12.9836,77.6066,0.74,6,1.1,8,1.38,4,0.96,5,1.16,4,7.09,21,2.88,12,4.61,13
Super built-up  Area,Ready To Move,MS Pallya,4 BHK,GrrvaGr,2400,4.0,1.0,88.0,12.9916,77.6146,4.22,4,0.76,4,3.01,7,5.94,7,0.88,7,5.76,25,3.06,11,8.23,16
Super built-up  Area,Ready To Move,Gottigere,2 BHK,GrrvaGr,1170,2.0,2.0,40.0,13.0126,77.6356,1.15,14,1.94,2,3.89,11,2.77,12,1.68,6,5.63,20,1.62,11,8.63,24
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2500,5.0,2.0,181.0,13.0086,77.6316,0.81,12,1.52,6,2.98,7,2.34,14,0.36,7,9.55,39,4.13,6,3.94,19
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,GrrvaGr,1100,2.0,2.0,49.5,12.9936,77.6166,4.28,11,0.54,8,1.35,5,7.75,19,1.72,1,2.99,16,0.49,9,5.43,20
Super built-up  Area,18-Mar,Hulimavu,4 BHK,Vapasrk,3560,5.0,3.0,318.0,13.0186,77.6416,3.19,7,2.92,4,0.38,10,7.24,11,0.35,4,11.2,13,0.67,6,2.05,33
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,GrrvaGr,900,2.0,0.0,55.0,13.0156,77.6386,4.77,3,2.7,3,2.48,9,7.54,20,1.11,7,14.78,44,0.37,9,1.55,11
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,GrrvaGr,1160,2.0,1.0,33.51,12.9786,77.6016,3.21,2,2.37,9,0.79,10,0.82,13,1.13,2,11.45,14,2.78,12,9.37,25
Super built-up  Area,18-Jan,Varthur,2 BHK,Muistry,1180,2.0,2.0,55.0,12.9746,77.5976,3.45,13,0.38,9,2.76,11,2.52,5,0.72,2,4.1,39,0.96,14,6.74,32
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1441,2.0,1.0,95.0,12.9716,77.5946,1.93,5,1.37,9,3.87,8,1.39,22,1.09,5,13.19,44,2.84,11,2.8,14
Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,Aconyit,1115,2.0,1.0,50.0,12.9906,77.6136,3.78,10,1.61,4,3.18,5,4.55,17,0.9,7,11.37,29,4.72,6,5.3,17
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Goandn ,1825,3.0,2.0,145.0,12.9876,77.6106,2.99,5,2.84,5,2.57,3,3.03,12,0.61,5,2.62,16,0.98,8,6.63,24
Carpet  Area,Ready To Move,Challaghatta,2 BHK,GrrvaGr,1489,2.0,0.0,101.0,12.9886,77.6116,0.96,4,1.15,7,3.97,10,2.7,18,0.85,7,8.37,10,1.78,6,5.14,27
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,GrrvaGr,2800,4.0,3.0,365.0,13.0106,77.6336,0.95,7,2.04,4,1.23,4,6.04,9,0.41,4,13.05,39,3.47,7,4.33,31
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,3.0,2.0,62.71,13.0126,77.6356,3.29,13,1.71,5,2.66,6,1.29,17,1.37,1,13.79,31,2.02,4,6.63,10
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,GrrvaGr,1223,2.0,2.0,42.81,13.0126,77.6356,1.51,10,2.45,7,1.43,4,3.81,20,0.47,1,10.83,39,0.57,14,5.74,10
Super built-up  Area,Ready To Move,Hormavu,2 BHK,GrrvaGr,1065,2.0,1.0,50.92,13.0126,77.6356,2.81,7,0.42,2,0.29,3,6.15,13,1.59,3,7.17,10,3.29,5,5.16,27
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190,2.0,1.0,64.0,13.0206,77.6436,1.12,3,2.49,4,2.06,9,3.79,16,0.4,1,11.82,25,1.24,14,3.0,29
Super built-up  Area,22-Jun,Koramangala,2 BHK,GrrvaGr,1130,2.0,2.0,63.0,13.0136,77.6366,2.21,2,1.99,6,3.39,3,1.42,14,1.08,5,11.63,41,4.73,7,1.99,10
Super built-up  Area,18-Apr,Banashankari,2 BHK,Bregae ,1430,2.0,2.0,87.8,12.9746,77.5976,4.34,7,0.42,8,1.66,3,5.51,15,1.52,4,8.62,44,3.5,10,5.04,29
Built-up  Area,Ready To Move,HRBR Layout,4 BHK,Aples M,1900,3.0,1.0,90.0,12.9906,77.6136,3.52,7,2.26,8,1.42,6,4.11,23,0.99,1,13.55,16,1.53,9,9.01,18
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,1104,2.0,1.0,34.22,13.0016,77.6246,2.54,3,1.07,3,3.02,7,5.66,11,0.3,1,5.04,31,3.51,11,1.82,12
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1240,2.0,2.0,45.88,12.9826,77.6056,2.56,9,0.33,1,1.3,11,3.69,5,0.98,6,9.33,21,4.78,12,7.08,22
Built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,1140,2.0,2.0,62.0,13.0206,77.6436,2.06,5,1.38,2,2.88,5,2.74,18,0.28,3,14.42,39,2.61,10,8.0,32
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,GrrvaGr,1194,2.0,2.0,47.0,13.0126,77.6356,3.33,9,0.61,9,3.96,9,2.52,17,0.41,3,1.3,18,1.24,4,3.84,27
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,GrrvaGr,1464,3.0,2.0,56.0,12.9956,77.6186,1.1,3,0.89,3,1.07,11,6.28,23,1.42,1,12.88,39,3.53,4,3.72,18
Super built-up  Area,Ready To Move,Sarjapur,4 BHK,Prldsum,3508,6.0,2.0,425.0,12.9736,77.5966,1.82,13,2.99,6,3.82,9,3.45,9,1.74,3,6.67,31,1.27,3,3.57,30
Super built-up  Area,Ready To Move,KR Puram,3 BHK,KeureSi,1700,3.0,3.0,105.0,13.0156,77.6386,3.46,12,0.54,1,3.71,5,7.76,6,0.32,5,1.19,10,4.38,9,6.66,15
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2658,5.0,3.0,189.0,13.0086,77.6316,3.67,6,1.2,7,1.22,3,3.64,6,1.21,3,10.01,37,0.94,11,2.41,25
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,DencyRe,1600,2.0,1.0,90.0,12.9826,77.6056,4.45,12,2.02,5,2.06,5,7.43,21,0.23,1,13.76,18,2.77,6,8.68,11
Super built-up  Area,Ready To Move,OMBR Layout,4 BHK,GrrvaGr,3400,4.0,2.0,275.0,12.9956,77.6186,1.66,12,2.93,7,0.83,8,1.95,18,0.59,6,11.5,17,0.57,4,4.89,31
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3.0,1.0,75.0,13.0166,77.6396,4.29,11,1.19,6,1.98,4,6.51,18,1.94,7,4.66,22,4.26,5,6.02,21
Built-up  Area,18-Jan,Balagere,1 BHK,Soresea,645,1.0,1.0,41.0,13.0086,77.6316,4.16,13,0.72,5,2.34,9,3.53,6,1.75,5,4.67,30,2.03,10,8.96,17
Super built-up  Area,Ready To Move,Hormavu,2 BHK,GrrvaGr,1046,2.0,1.0,60.0,13.0126,77.6356,0.25,3,1.28,9,2.49,7,2.14,14,0.2,2,10.99,22,0.86,10,6.05,10
Plot  Area,Ready To Move,Munnekollal,10 Bedroom,GrrvaGr,1200,8.0,3.0,230.0,12.9986,77.6216,3.43,13,0.56,3,3.35,4,1.99,13,1.6,2,2.27,30,2.69,11,6.82,19
Built-up  Area,Ready To Move,5th Block Jayanagar,1 Bedroom,GrrvaGr,1500,1.0,1.0,300.0,13.0056,77.6286,3.88,11,2.96,9,2.8,3,0.83,23,0.38,6,1.68,23,0.56,8,4.51,23
Built-up  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,GrrvaGr,3000,6.0,3.0,300.0,12.9956,77.6186,0.22,2,1.48,5,2.36,7,6.82,13,0.95,3,9.25,24,3.89,13,3.21,15
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1079,2.0,1.0,32.37,13.0086,77.6316,2.57,12,2.02,4,2.57,7,1.3,24,1.51,5,8.42,34,2.73,10,2.1,34
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Soowsa ,975,2.0,1.0,50.0,12.9776,77.6006,4.77,13,1.14,8,1.21,10,2.42,5,1.08,2,1.42,11,2.86,9,6.85,14
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,Foinade,1050,2.0,1.0,51.0,12.9726,77.5956,4.78,6,0.85,6,1.9,8,5.59,16,1.44,3,13.31,36,4.54,14,8.14,24
Plot  Area,Ready To Move,HSR Layout,9 Bedroom,GrrvaGr,1200,9.0,0.0,350.0,12.9996,77.6226,3.75,2,0.37,2,3.04,6,3.64,24,0.34,3,5.37,12,2.29,13,5.1,32
Super built-up  Area,Ready To Move,"Jayanagar, ",3 BHK,GrrvaGr,1903,3.0,2.0,165.0,13.0096,77.6326,4.19,2,2.37,2,2.66,8,0.81,19,1.29,2,8.09,10,1.81,7,1.82,20
Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,2940Sq. Yards,3.0,1.0,232.0,13.0106,77.6336,1.68,14,1.73,4,3.16,6,1.71,5,0.97,7,9.78,17,0.72,11,6.07,15
Super built-up  Area,Ready To Move,Asthagrama Layout,2 BHK,GrrvaGr,1200,2.0,2.0,38.0,13.0176,77.6406,2.41,11,0.7,4,2.78,9,6.25,18,0.57,7,5.05,30,3.6,14,4.59,22
Super built-up  Area,Ready To Move,Avalahalli,4 BHK,Sohea A,2996,4.0,3.0,200.0,12.9856,77.6086,4.98,7,2.04,2,2.67,8,4.52,21,1.8,1,14.61,44,4.41,13,9.57,11
Built-up  Area,Ready To Move,Manayata Tech Park,4 BHK,GrrvaGr,3400,4.0,2.0,200.0,12.9806,77.6036,4.08,11,0.81,6,0.34,10,4.88,10,0.61,3,3.18,27,1.28,12,6.6,19
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,2000,4.0,1.0,312.0,13.0206,77.6436,0.41,8,0.71,8,1.33,6,2.6,7,0.44,2,3.5,43,4.17,12,4.09,21
Plot  Area,Ready To Move,Jigani,4 Bedroom,GrrvaGr,1453,4.0,1.0,160.0,13.0106,77.6336,0.46,3,2.63,2,0.69,10,5.02,14,1.21,6,3.47,30,2.82,3,1.47,29
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,GrrvaGr,1092,2.0,2.0,43.0,12.9826,77.6056,2.98,3,1.53,8,0.36,4,4.48,14,0.68,3,6.4,20,1.79,9,9.79,23
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyavuHo,1400,2.0,0.0,75.0,13.0126,77.6356,1.99,5,1.64,4,3.84,11,4.01,15,1.07,6,4.55,42,4.75,9,1.31,18
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,Rerelve,1416,2.0,1.0,85.0,12.9996,77.6226,1.33,8,2.33,8,2.91,10,2.19,15,0.47,3,1.04,19,2.58,5,4.7,13
Built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,1602,2.0,1.0,75.0,13.0026,77.6256,1.74,2,1.49,1,3.03,3,5.82,16,1.67,5,8.21,23,3.8,4,6.34,20
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,1100,2.0,1.0,41.0,12.9836,77.6066,4.8,14,0.79,1,1.7,7,4.58,23,1.64,1,11.07,42,4.44,3,8.41,31
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1760,3.0,2.0,110.0,12.9826,77.6056,1.74,6,2.22,4,1.68,4,3.84,13,0.37,6,13.97,28,2.91,3,3.61,33
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4.0,3.0,235.0,13.0086,77.6316,1.94,9,2.56,2,0.35,4,5.11,15,0.66,6,3.93,22,3.62,11,6.5,24
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,GrrvaGr,1037,2.0,1.0,36.28,13.0046,77.6276,2.37,5,1.94,8,0.4,8,3.19,17,0.22,4,4.26,30,3.47,8,2.95,10
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1384,2.0,2.0,76.18,12.9876,77.6106,0.97,9,2.43,5,0.75,5,5.92,22,1.58,4,9.64,14,3.16,6,5.28,14
Super built-up  Area,22-Jan,Vajarahalli,1 BHK,GrrvaGr,551,1.0,1.0,30.0,12.9956,77.6186,2.07,14,0.18,6,3.82,5,6.76,6,1.45,6,10.28,30,3.07,5,2.29,29
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,GrrvaGr,2400,5.0,2.0,1250.0,13.0176,77.6406,3.3,2,1.51,9,1.3,6,7.52,20,0.71,5,11.54,19,4.54,3,6.97,12
Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,GrrvaGr,500,1.0,0.0,70.0,13.0116,77.6346,1.44,9,1.31,7,0.23,6,3.04,8,0.34,1,12.9,36,2.78,8,4.61,21
Super built-up  Area,18-Apr,Sarjapur,2 BHK,SNityVe,900,2.0,2.0,27.98,12.9736,77.5966,3.19,9,0.27,1,3.69,6,4.15,23,1.8,4,8.77,16,1.1,6,7.62,16
Plot  Area,Ready To Move,Anandapura,3 Bedroom,GrrvaGr,1415,2.0,1.0,74.0,12.9876,77.6106,1.37,3,0.71,1,2.96,5,3.76,8,1.43,5,5.11,40,2.77,8,6.65,21
Super built-up  Area,18-Mar,Rajarajesheari nagar,2 BHK,GrrvaGr,1400,2.0,1.0,44.8,13.0186,77.6416,3.98,5,1.35,4,2.35,10,1.35,11,1.77,7,12.51,44,2.75,4,9.58,29
Plot  Area,Ready To Move,Devara Jeevanahalli,7 Bedroom,GrrvaGr,1300,4.0,1.0,52.0,12.9756,77.5986,4.7,3,2.08,1,0.94,8,3.13,20,0.98,1,8.2,26,2.88,12,4.95,11
Built-up  Area,Ready To Move,Millers Road,3 BHK,GrrvaGr,2850,4.0,3.0,460.0,12.9836,77.6066,2.33,4,1.22,5,2.66,5,6.45,14,1.85,2,4.94,11,3.07,12,1.43,18
